ID,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AreaRecreativaID
148,28/06/2020,Robo,Baja,17824
149,01/08/2021,Caída,Baja,16896
150,10/01/2024,Accidente,Alta,17087
151,09/12/2021,Vandalismo,Baja,18204
152,13/09/2022,Daño estructural,Baja,17339
153,23/06/2023,Vandalismo,Baja,17029
154,26/02/2024,Daño estructural,Alta,16672
155,16/08/2023,Accidente,Crítica,17826
156,20/06/2021,Caída,Alta,17012
157,11/11/2022,Vandalismo,Baja,18630
158,13/11/2020,Vandalismo,Media,3573057
159,02/01/2021,Caída,Alta,5231441
160,29/10/2019,Robo,Alta,16771
161,24/04/2023,Daño estructural,Media,18437
162,11/01/2023,Caída,Crítica,5211393
163,24/06/2024,Vandalismo,Baja,17112
164,14/06/2024,Accidente,Media,17583
165,24/08/2022,Robo,Baja,18315
166,13/07/2020,Accidente,Media,17344
167,15/05/2020,Vandalismo,Crítica,17000
168,01/07/2022,Daño estructural,Baja,18433
169,24/11/2021,Caída,Crítica,18344
170,15/09/2024,Accidente,Baja,18282
171,07/01/2023,Robo,Alta,52209
172,13/09/2021,Vandalismo,Crítica,52177
173,25/06/2024,Accidente,Alta,5237137
174,26/10/2022,Robo,Baja,5219919
175,17/02/2024,Daño estructural,Alta,5010682
176,16/10/2021,Daño estructural,Alta,18176
177,13/09/2024,Caída,Alta,17652
178,06/06/2024,Daño estructural,Alta,451542
179,18/10/2023,Vandalismo,Baja,451569
180,26/09/2024,Vandalismo,Crítica,18263
181,23/02/2023,Robo,Media,18506
182,14/08/2022,Accidente,Baja,17159
183,17/11/2023,Caída,Media,18468
184,25/12/2021,Robo,Baja,451569
185,28/09/2021,Caída,Baja,18247
186,27/08/2024,Accidente,Alta,17265
187,28/05/2024,Vandalismo,Crítica,5220259
188,04/11/2021,Vandalismo,Media,17557
189,23/09/2024,Caída,Baja,18595
190,29/10/2022,Caída,Alta,17211
191,24/08/2020,Daño estructural,Alta,17016
192,28/12/2020,Daño estructural,Media,18634
193,12/08/2024,Accidente,Crítica,16842
194,28/11/2022,Vandalismo,Baja,3568300
195,03/02/2024,Vandalismo,Crítica,5237118
196,06/08/2021,Robo,Crítica,17420
197,03/12/2023,Robo,Baja,17900
198,10/05/2023,Robo,Baja,16943
199,30/07/2024,Caída,Alta,16821
200,29/01/2023,Caída,Baja,3573048
201,05/06/2020,Daño estructural,Crítica,18351
202,06/12/2021,Robo,Baja,4984713
203,15/02/2022,Vandalismo,Crítica,17779
204,16/12/2020,Robo,Alta,16687
205,25/07/2022,Caída,Alta,17939
206,30/12/2021,Robo,Baja,52176
207,27/07/2023,Robo,Crítica,17036
208,20/08/2022,Daño estructural,Baja,17844
209,10/09/2024,Caída,Alta,17564
210,22/03/2021,Vandalismo,Media,17547
211,19/12/2022,Daño estructural,Media,17286
212,02/11/2020,Accidente,Media,18073
213,15/08/2024,Daño estructural,Baja,18378
214,13/06/2024,Robo,Alta,18307
215,30/05/2021,Vandalismo,Crítica,18420
216,04/08/2021,Accidente,Alta,461342
217,01/11/2022,Daño estructural,Baja,18379
218,19/10/2020,Daño estructural,Crítica,8785368
219,17/05/2023,Vandalismo,Alta,5240288
220,13/03/2024,Caída,Baja,5175231
221,04/03/2024,Accidente,Media,17924
222,05/01/2021,Vandalismo,Baja,16854
223,06/03/2021,Accidente,Crítica,18102
224,12/02/2020,Vandalismo,Media,18339
225,20/08/2024,Vandalismo,Media,18484
226,15/09/2022,Robo,Alta,7107699
227,09/08/2022,Daño estructural,Alta,17219
228,15/03/2024,Robo,Alta,17722
229,22/03/2024,Robo,Media,16774
230,20/07/2024,Daño estructural,Media,17201
231,04/09/2022,Caída,Media,18614
232,09/06/2024,Caída,Baja,5653914
233,11/02/2021,Robo,Baja,3568959
234,28/04/2024,Daño estructural,Media,8799552
235,20/11/2020,Daño estructural,Baja,17283
236,09/09/2022,Accidente,Baja,16896
237,06/04/2020,Vandalismo,Alta,17599
238,03/03/2024,Vandalismo,Alta,17409
239,16/05/2020,Caída,Crítica,17822
240,07/06/2020,Accidente,Crítica,17362
241,21/09/2021,Robo,Baja,18173
242,05/08/2024,Vandalismo,Media,9046339
243,27/07/2024,Vandalismo,Media,16761
244,05/06/2020,Accidente,Baja,3568711
245,17/09/2023,Robo,Media,17721
246,06/04/2024,Robo,Baja,18618
247,19/06/2022,Robo,Crítica,18616
248,17/04/2024,Accidente,Baja,16820
249,16/07/2021,Accidente,Crítica,17514
250,02/03/2021,Vandalismo,Crítica,17093
251,20/01/2020,Accidente,Crítica,3531279
252,28/07/2022,Accidente,Alta,8909088
253,25/02/2023,Robo,Alta,17947
254,03/04/2021,Accidente,Alta,18544
255,25/05/2023,Robo,Alta,16964
256,01/10/2024,Accidente,Media,17451
257,19/04/2022,Daño estructural,Baja,3568168
258,30/01/2023,Daño estructural,Media,17503
259,13/08/2020,Accidente,Crítica,17284
260,12/12/2022,Daño estructural,Crítica,7126585
261,28/09/2024,Accidente,Crítica,18457
262,28/04/2020,Vandalismo,Crítica,17386
263,11/01/2023,Robo,Media,17987
264,21/01/2024,Accidente,Crítica,18129
265,17/11/2019,Daño estructural,Baja,17625
266,13/03/2021,Vandalismo,Baja,16863
267,02/07/2022,Vandalismo,Alta,17593
268,04/09/2022,Vandalismo,Alta,3568169
269,05/11/2023,Caída,Baja,52211
270,25/10/2023,Accidente,Baja,16872
271,09/04/2020,Robo,Crítica,5219934
272,20/03/2023,Caída,Baja,17576
273,06/02/2022,Caída,Baja,16762
274,11/12/2021,Vandalismo,Baja,17091
275,09/02/2020,Vandalismo,Alta,18588
276,23/09/2024,Vandalismo,Alta,16834
277,30/10/2022,Daño estructural,Media,17997
278,16/12/2020,Caída,Alta,17342
279,13/02/2024,Robo,Baja,5237112
280,06/06/2020,Accidente,Alta,5133174
281,09/10/2022,Robo,Baja,18190
282,27/09/2022,Accidente,Media,17551
283,14/07/2022,Caída,Media,18560
284,05/12/2023,Accidente,Crítica,18159
285,17/06/2022,Robo,Baja,8799632
286,20/02/2021,Caída,Media,5071674
287,28/06/2020,Daño estructural,Media,17985
288,12/03/2022,Robo,Media,18091
289,09/10/2024,Daño estructural,Crítica,52209
290,18/11/2020,Caída,Baja,52225
291,15/11/2022,Vandalismo,Baja,17065
292,15/05/2020,Daño estructural,Media,17412
293,04/11/2023,Vandalismo,Media,17022
294,18/03/2024,Caída,Crítica,17464
295,05/05/2023,Daño estructural,Alta,17092
296,05/04/2020,Vandalismo,Alta,52214
297,06/04/2023,Daño estructural,Crítica,17668
298,30/12/2019,Robo,Media,18175
299,07/09/2021,Daño estructural,Crítica,16696
300,04/08/2020,Daño estructural,Media,17801
301,05/08/2023,Daño estructural,Crítica,17542
302,03/05/2022,Vandalismo,Media,9049653
303,21/09/2020,Vandalismo,Media,17894
304,08/09/2024,Daño estructural,Media,3568279
305,20/05/2020,Vandalismo,Crítica,18438
306,29/07/2020,Caída,Media,18057
307,30/11/2023,Daño estructural,Alta,52116
308,07/08/2022,Daño estructural,Baja,9438309
309,04/05/2020,Robo,Baja,3531279
310,12/05/2023,Daño estructural,Baja,16907
311,25/02/2020,Daño estructural,Baja,18323
312,29/11/2020,Vandalismo,Media,18489
313,10/02/2020,Accidente,Baja,16855
314,09/05/2020,Daño estructural,Alta,7835585
315,14/05/2020,Vandalismo,Baja,3573466
316,12/11/2019,Accidente,Media,17009
317,03/01/2023,Robo,Alta,3990963
318,03/12/2020,Vandalismo,Baja,52193
319,08/03/2021,Daño estructural,Crítica,17396
320,19/03/2020,Robo,Crítica,17699
321,10/02/2021,Vandalismo,Media,17857
322,29/07/2023,Daño estructural,Alta,7872643
323,20/07/2023,Vandalismo,Crítica,7165942
324,05/10/2020,Daño estructural,Alta,4794560
325,22/12/2023,Robo,Media,17920
326,18/05/2020,Daño estructural,Baja,3569191
327,14/09/2020,Robo,Media,17165
328,09/11/2024,Vandalismo,Crítica,18156
329,29/12/2022,Daño estructural,Baja,17137
330,10/12/2020,Accidente,Media,3990960
331,17/10/2019,Caída,Crítica,9049643
332,20/12/2020,Accidente,Media,17221
333,02/07/2024,Caída,Media,17759
334,26/03/2023,Accidente,Media,16920
335,22/04/2024,Daño estructural,Media,52090
336,13/02/2022,Caída,Media,18231
337,23/01/2024,Accidente,Baja,3531283
338,05/12/2020,Vandalismo,Crítica,17123
339,27/09/2023,Caída,Media,52107
340,17/02/2023,Daño estructural,Media,52144
341,23/12/2021,Daño estructural,Crítica,16916
342,19/08/2023,Vandalismo,Crítica,17400
343,18/08/2023,Caída,Alta,17741
344,22/02/2020,Vandalismo,Baja,17723
345,10/03/2022,Caída,Alta,17483
346,14/12/2023,Vandalismo,Media,17215
347,08/01/2022,Caída,Crítica,17794
348,12/06/2020,Robo,Alta,17811
349,29/05/2021,Caída,Crítica,5654051
350,26/11/2020,Vandalismo,Crítica,18536
351,12/07/2023,Vandalismo,Crítica,4749897
352,17/06/2021,Caída,Media,5211393
353,10/02/2022,Vandalismo,Crítica,4730800
354,03/11/2023,Accidente,Media,8907324
355,12/12/2021,Daño estructural,Media,18418
356,27/02/2021,Accidente,Alta,16678
357,25/08/2021,Daño estructural,Media,18554
358,05/11/2023,Caída,Media,17383
359,03/11/2021,Robo,Media,18323
360,04/12/2022,Daño estructural,Media,18239
361,20/02/2020,Robo,Alta,4792795
362,30/11/2023,Caída,Crítica,8799941
363,03/07/2021,Daño estructural,Crítica,16812
364,17/07/2022,Accidente,Baja,16730
365,06/10/2021,Accidente,Alta,17051
366,25/04/2024,Robo,Alta,17134
367,23/02/2020,Vandalismo,Baja,17208
368,15/07/2022,Accidente,Alta,18198
369,29/11/2020,Accidente,Media,18152
370,29/06/2024,Caída,Baja,18135
371,22/03/2021,Accidente,Crítica,17292
372,19/08/2020,Daño estructural,Alta,17859
373,25/12/2023,Robo,Crítica,18176
374,05/05/2021,Robo,Crítica,18098
375,25/02/2024,Robo,Media,7247916
376,07/05/2023,Vandalismo,Media,17004
377,31/01/2023,Accidente,Alta,18205
378,02/04/2022,Vandalismo,Crítica,17416
379,30/08/2022,Daño estructural,Crítica,5653914
380,06/02/2023,Vandalismo,Baja,18268
381,01/09/2022,Accidente,Baja,17644
382,01/06/2020,Accidente,Baja,4745667
383,01/10/2023,Robo,Media,16898
384,25/06/2020,Robo,Crítica,18099
385,15/07/2021,Caída,Alta,17570
386,06/03/2024,Caída,Media,52091
387,06/01/2024,Daño estructural,Media,18598
388,16/06/2024,Caída,Alta,17091
389,08/04/2020,Caída,Crítica,8785368
390,22/08/2020,Vandalismo,Crítica,17073
391,18/08/2022,Caída,Baja,16975
392,19/07/2020,Robo,Crítica,5071591
393,29/08/2020,Robo,Baja,16832
394,22/08/2022,Daño estructural,Alta,5653899
395,01/10/2024,Daño estructural,Alta,52156
396,24/02/2024,Caída,Media,18243
397,10/07/2021,Daño estructural,Baja,5237139
398,20/11/2019,Daño estructural,Baja,7144128
399,07/06/2020,Accidente,Crítica,17724
400,06/08/2023,Vandalismo,Media,5653877
401,06/03/2024,Robo,Crítica,17500
402,02/01/2020,Accidente,Baja,17848
403,25/03/2024,Accidente,Alta,17000
404,24/02/2022,Vandalismo,Alta,17051
405,07/10/2021,Caída,Crítica,52183
406,02/11/2019,Robo,Media,9424150
407,05/08/2024,Daño estructural,Alta,17013
408,06/04/2020,Robo,Alta,17614
409,19/02/2022,Vandalismo,Alta,17922
410,18/09/2022,Caída,Alta,18282
411,21/02/2021,Vandalismo,Baja,17925
412,15/07/2021,Accidente,Media,5237133
413,10/11/2021,Daño estructural,Crítica,7802438
414,23/06/2020,Accidente,Crítica,16813
415,27/03/2022,Accidente,Media,17952
416,26/05/2023,Daño estructural,Baja,17974
417,29/03/2024,Vandalismo,Crítica,17856
418,11/06/2021,Daño estructural,Baja,17037
419,19/07/2024,Daño estructural,Crítica,17948
420,09/11/2019,Robo,Crítica,18443
421,22/09/2021,Daño estructural,Baja,18599
422,05/08/2023,Caída,Crítica,17650
423,04/04/2021,Daño estructural,Alta,17414
424,07/07/2023,Caída,Crítica,18462
425,04/02/2024,Robo,Crítica,16730
426,13/08/2020,Caída,Media,18232
427,01/09/2024,Robo,Alta,18218
428,26/02/2022,Robo,Baja,17209
429,14/03/2021,Vandalismo,Crítica,17468
430,21/10/2019,Caída,Crítica,17111
431,09/12/2023,Robo,Crítica,18564
432,08/09/2022,Vandalismo,Baja,17050
433,10/06/2021,Daño estructural,Media,17564
434,02/03/2024,Caída,Alta,17690
435,19/04/2024,Caída,Alta,17470
436,09/06/2020,Accidente,Crítica,17340
437,15/06/2021,Accidente,Media,17272
438,02/03/2024,Caída,Crítica,18417
439,11/05/2024,Accidente,Alta,16711
440,19/11/2020,Caída,Crítica,16832
441,09/02/2021,Daño estructural,Baja,17933
442,13/09/2020,Vandalismo,Alta,17014
443,12/05/2022,Robo,Baja,18043
444,16/11/2020,Accidente,Alta,52197
445,27/05/2022,Robo,Baja,17678
446,22/06/2024,Vandalismo,Baja,6819621
447,15/10/2020,Accidente,Media,5237123
448,12/01/2021,Robo,Alta,16677
449,15/08/2024,Daño estructural,Media,3960567
450,22/09/2022,Daño estructural,Media,17946
451,22/01/2022,Accidente,Baja,17100
452,25/08/2022,Accidente,Baja,3991194
453,03/07/2024,Daño estructural,Crítica,17113
454,08/12/2022,Vandalismo,Crítica,16870
455,01/05/2024,Caída,Alta,18062
456,13/03/2024,Daño estructural,Media,451321
457,26/12/2020,Caída,Media,4737941
458,10/05/2022,Caída,Baja,18291
459,16/02/2022,Caída,Baja,18009
460,24/01/2021,Caída,Crítica,17421
461,01/09/2023,Vandalismo,Crítica,17258
462,01/08/2021,Vandalismo,Alta,17674
463,15/10/2022,Daño estructural,Media,5240286
464,21/08/2021,Caída,Alta,18325
465,12/07/2022,Daño estructural,Alta,17193
466,01/02/2024,Robo,Baja,4987160
467,13/05/2023,Vandalismo,Baja,17589
468,09/11/2022,Caída,Baja,17997
469,27/02/2021,Caída,Media,18203
470,31/05/2023,Daño estructural,Crítica,17561
471,25/12/2020,Caída,Baja,17949
472,31/08/2020,Daño estructural,Alta,8799553
473,07/03/2022,Caída,Baja,16998
474,10/09/2023,Robo,Alta,18598
475,29/07/2020,Daño estructural,Crítica,17977
476,30/03/2022,Caída,Baja,5166868
477,25/02/2020,Caída,Baja,17141
478,27/09/2021,Robo,Alta,17688
479,28/10/2023,Vandalismo,Crítica,17491
480,08/02/2024,Caída,Media,17007
481,02/02/2021,Vandalismo,Crítica,18557
482,31/01/2022,Caída,Media,52123
483,14/12/2022,Caída,Baja,8941726
484,20/07/2022,Caída,Media,18527
485,27/07/2020,Robo,Media,17037
486,04/07/2020,Accidente,Alta,18168
487,30/06/2020,Robo,Baja,4737820
488,29/08/2021,Caída,Alta,5241176
489,14/04/2020,Caída,Crítica,5653960
490,16/09/2022,Daño estructural,Crítica,16998
491,21/09/2024,Accidente,Alta,18056
492,28/04/2024,Daño estructural,Baja,461343
493,16/08/2021,Caída,Media,17444
494,13/03/2022,Caída,Media,17218
495,30/09/2023,Robo,Crítica,7177654
496,08/07/2023,Accidente,Alta,18631
497,13/11/2022,Accidente,Crítica,17667
498,18/02/2021,Caída,Media,16859
499,10/04/2020,Daño estructural,Baja,17257
500,05/05/2022,Vandalismo,Baja,18184
501,09/04/2020,Daño estructural,Media,5219935
502,21/07/2020,Vandalismo,Baja,5220259
503,12/09/2023,Accidente,Crítica,5240310
504,13/11/2022,Caída,Media,18305
505,14/05/2024,Caída,Media,17099
506,17/08/2021,Robo,Crítica,16747
507,04/06/2020,Daño estructural,Baja,16731
508,26/09/2020,Daño estructural,Media,17916
509,14/04/2022,Robo,Media,3573055
510,27/10/2021,Vandalismo,Alta,17916
511,10/10/2020,Accidente,Crítica,18051
512,22/08/2021,Vandalismo,Media,17991
513,26/01/2021,Vandalismo,Media,17501
514,12/03/2024,Daño estructural,Crítica,18133
515,12/01/2020,Robo,Media,17421
516,10/02/2021,Robo,Media,52048
517,13/07/2020,Robo,Baja,5218564
518,26/02/2024,Caída,Media,17849
519,22/09/2023,Robo,Baja,18376
520,07/04/2023,Daño estructural,Alta,18141
521,29/03/2024,Daño estructural,Crítica,16727
522,17/05/2021,Caída,Baja,17768
523,11/11/2019,Accidente,Media,5653890
524,14/06/2024,Accidente,Media,18217
525,10/08/2020,Robo,Media,5211393
526,08/09/2023,Robo,Media,52093
527,06/08/2022,Daño estructural,Baja,17361
528,11/05/2023,Accidente,Crítica,16695
529,15/12/2021,Vandalismo,Alta,18451
530,11/10/2022,Vandalismo,Alta,3573058
531,16/01/2023,Robo,Media,5892353
532,07/03/2021,Robo,Media,5211511
533,20/03/2020,Caída,Baja,18391
534,25/02/2020,Vandalismo,Media,3573330
535,13/02/2021,Daño estructural,Alta,17412
536,03/11/2024,Daño estructural,Baja,16741
537,30/07/2021,Daño estructural,Media,16723
538,01/02/2020,Vandalismo,Alta,17075
539,04/11/2022,Daño estructural,Media,17299
540,17/07/2024,Caída,Baja,17993
541,29/02/2020,Robo,Baja,17044
542,18/07/2021,Robo,Media,18138
543,13/02/2020,Daño estructural,Crítica,18207
544,25/05/2023,Robo,Crítica,52179
545,06/10/2024,Vandalismo,Crítica,17334
546,24/01/2022,Daño estructural,Media,18294
547,20/04/2024,Vandalismo,Crítica,9397076
548,12/08/2021,Accidente,Media,17607
549,01/09/2021,Accidente,Crítica,18316
550,27/03/2021,Caída,Media,17990
551,09/08/2020,Robo,Baja,17310
552,04/02/2020,Accidente,Crítica,5219922
553,17/11/2023,Vandalismo,Alta,18582
554,15/07/2024,Caída,Baja,18438
555,08/09/2020,Caída,Media,5237125
556,20/08/2021,Caída,Baja,16679
557,29/01/2022,Robo,Media,18133
558,02/06/2021,Accidente,Alta,18072
559,06/02/2024,Vandalismo,Media,17075
560,11/08/2022,Caída,Crítica,17057
561,03/10/2020,Vandalismo,Media,17548
562,30/01/2023,Caída,Media,17254
563,07/08/2023,Caída,Baja,18456
564,16/08/2020,Daño estructural,Alta,5241168
565,10/10/2022,Accidente,Media,8914015
566,13/09/2023,Vandalismo,Baja,5213822
567,15/02/2023,Accidente,Alta,17660
568,12/02/2022,Vandalismo,Crítica,16851
569,01/10/2023,Robo,Media,18411
570,30/03/2024,Robo,Crítica,18107
571,29/12/2021,Daño estructural,Crítica,52186
572,14/04/2021,Daño estructural,Media,6819625
573,19/08/2023,Robo,Crítica,17999
574,14/08/2023,Robo,Baja,16997
575,03/01/2022,Accidente,Baja,5109124
576,06/02/2020,Robo,Baja,17611
577,15/07/2023,Accidente,Media,17487
578,15/06/2024,Vandalismo,Media,17923
579,24/08/2022,Vandalismo,Media,18526
580,14/01/2020,Caída,Media,17842
581,12/07/2021,Caída,Media,3991213
582,24/12/2020,Daño estructural,Alta,18056
583,20/07/2022,Daño estructural,Baja,18209
584,17/05/2022,Caída,Media,52044
585,21/11/2023,Accidente,Media,52102
586,14/05/2024,Daño estructural,Crítica,17723
587,13/10/2024,Vandalismo,Crítica,18004
588,08/12/2020,Caída,Baja,17348
589,24/11/2020,Robo,Baja,8799550
590,03/03/2020,Accidente,Media,16674
591,20/08/2022,Caída,Baja,3568300
592,10/12/2022,Daño estructural,Media,5213822
593,13/10/2022,Vandalismo,Baja,17800
594,21/09/2023,Robo,Alta,17272
595,26/07/2022,Daño estructural,Alta,52070
596,02/09/2022,Caída,Alta,17805
597,31/10/2023,Caída,Media,17354
598,17/05/2024,Accidente,Baja,17965
599,10/03/2020,Vandalismo,Alta,7861611
600,05/05/2023,Daño estructural,Crítica,17376
601,06/03/2023,Robo,Baja,18424
602,09/03/2020,Daño estructural,Media,16945
603,17/01/2020,Vandalismo,Alta,52216
604,07/06/2023,Robo,Crítica,7902152
605,13/11/2020,Robo,Alta,4983958
606,13/01/2022,Accidente,Alta,18386
607,01/09/2020,Daño estructural,Media,5654018
608,25/01/2024,Caída,Media,18609
609,29/12/2020,Vandalismo,Baja,5240110
610,09/04/2023,Vandalismo,Baja,18091
611,01/07/2024,Accidente,Alta,5237111
612,21/03/2020,Accidente,Alta,5174681
613,28/06/2021,Vandalismo,Media,17400
614,26/09/2022,Accidente,Alta,17016
615,05/10/2022,Daño estructural,Baja,18414
616,10/08/2024,Robo,Baja,17676
617,13/11/2023,Robo,Alta,16848
618,13/09/2020,Robo,Alta,16923
619,30/04/2021,Accidente,Media,18332
620,01/06/2024,Accidente,Alta,18057
621,18/11/2020,Accidente,Crítica,5240282
622,22/07/2024,Caída,Baja,17077
623,10/06/2020,Caída,Crítica,18496
624,06/09/2022,Robo,Media,18597
625,22/11/2021,Robo,Crítica,6819613
626,12/09/2024,Daño estructural,Crítica,17339
627,10/02/2022,Vandalismo,Media,17767
628,06/10/2023,Vandalismo,Crítica,17461
629,21/07/2021,Daño estructural,Baja,17499
630,07/07/2023,Accidente,Alta,18430
631,16/01/2021,Robo,Crítica,18026
632,19/06/2021,Daño estructural,Media,16778
633,08/08/2021,Caída,Alta,17947
634,27/09/2024,Robo,Alta,5241186
635,08/03/2021,Daño estructural,Baja,6819614
636,26/08/2023,Robo,Media,17825
637,04/03/2022,Caída,Media,17667
638,06/09/2020,Vandalismo,Media,18380
639,20/02/2022,Accidente,Baja,18257
640,20/02/2023,Caída,Media,52135
641,14/09/2022,Caída,Alta,17091
642,16/09/2024,Vandalismo,Alta,17839
643,07/10/2022,Daño estructural,Media,4704499
644,27/01/2024,Robo,Crítica,52148
645,05/12/2024,Caída,Crítica,17515
