ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Tipo,Comentarios
MNT-00055,23/09/2024,Emergencia,Malo,Malo,59353,queja_usuario,Comentario sobre el mantenimiento 55
MNT-00056,11/09/2023,Preventivo,Malo,Malo,6878766,queja_usuario,Comentario sobre el mantenimiento 56
MNT-00057,26/05/2024,Emergencia,Malo,Bueno,4985742,preventivo,Comentario sobre el mantenimiento 57
MNT-00058,23/07/2024,Emergencia,Regular,Malo,21681,preventivo,Comentario sobre el mantenimiento 58
MNT-00059,18/01/2024,Preventivo,Malo,Regular,21688,queja_usuario,Comentario sobre el mantenimiento 59
MNT-00060,01/08/2024,Correctivo,Malo,Regular,9389678,queja_usuario,Comentario sobre el mantenimiento 60
MNT-00061,08/03/2024,Preventivo,Bueno,Malo,9129831,queja_usuario,Comentario sobre el mantenimiento 61
MNT-00062,11/03/2024,Preventivo,Bueno,Malo,25588,preventivo,Comentario sobre el mantenimiento 62
MNT-00063,04/04/2024,Preventivo,Bueno,Bueno,59771,preventivo,Comentario sobre el mantenimiento 63
MNT-00064,20/10/2023,Correctivo,Regular,Bueno,25029,queja_usuario,Comentario sobre el mantenimiento 64
MNT-00065,15/05/2024,Correctivo,Malo,Malo,3580731,queja_usuario,Comentario sobre el mantenimiento 65
MNT-00066,27/07/2024,Preventivo,Regular,Malo,4750002,queja_usuario,Comentario sobre el mantenimiento 66
MNT-00067,27/02/2024,Preventivo,Malo,Bueno,21092,preventivo,Comentario sobre el mantenimiento 67
MNT-00068,08/01/2024,Emergencia,Bueno,Malo,7872672,queja_usuario,Comentario sobre el mantenimiento 68
MNT-00069,16/11/2023,Emergencia,Bueno,Malo,21339,queja_usuario,Comentario sobre el mantenimiento 69
MNT-00070,28/09/2024,Preventivo,Regular,Bueno,3573457,queja_usuario,Comentario sobre el mantenimiento 70
MNT-00071,25/03/2024,Preventivo,Malo,Malo,59163,queja_usuario,Comentario sobre el mantenimiento 71
MNT-00072,28/10/2023,Emergencia,Regular,Bueno,59925,preventivo,Comentario sobre el mantenimiento 72
MNT-00073,24/03/2024,Correctivo,Regular,Bueno,33727,queja_usuario,Comentario sobre el mantenimiento 73
MNT-00074,07/02/2024,Correctivo,Malo,Malo,9397139,preventivo,Comentario sobre el mantenimiento 74
MNT-00075,18/05/2024,Correctivo,Malo,Regular,25630,queja_usuario,Comentario sobre el mantenimiento 75
MNT-00076,25/06/2024,Emergencia,Regular,Regular,52881,queja_usuario,Comentario sobre el mantenimiento 76
MNT-00077,31/05/2024,Emergencia,Regular,Bueno,32918,preventivo,Comentario sobre el mantenimiento 77
MNT-00078,19/03/2024,Preventivo,Bueno,Bueno,25696,queja_usuario,Comentario sobre el mantenimiento 78
MNT-00079,25/04/2024,Correctivo,Bueno,Malo,32726,preventivo,Comentario sobre el mantenimiento 79
MNT-00080,22/05/2024,Correctivo,Regular,Malo,9492978,preventivo,Comentario sobre el mantenimiento 80
MNT-00081,28/10/2023,Preventivo,Malo,Malo,58942,queja_usuario,Comentario sobre el mantenimiento 81
MNT-00082,04/10/2024,Emergencia,Regular,Regular,58669,queja_usuario,Comentario sobre el mantenimiento 82
MNT-00083,13/09/2024,Emergencia,Bueno,Regular,3568984,queja_usuario,Comentario sobre el mantenimiento 83
MNT-00084,23/01/2024,Correctivo,Bueno,Regular,8820187,preventivo,Comentario sobre el mantenimiento 84
MNT-00085,08/11/2023,Preventivo,Regular,Bueno,58807,preventivo,Comentario sobre el mantenimiento 85
MNT-00086,10/11/2024,Preventivo,Malo,Malo,58331,preventivo,Comentario sobre el mantenimiento 86
MNT-00087,25/09/2024,Preventivo,Regular,Bueno,20243,preventivo,Comentario sobre el mantenimiento 87
MNT-00088,14/06/2024,Preventivo,Malo,Regular,9177751,queja_usuario,Comentario sobre el mantenimiento 88
MNT-00089,19/01/2024,Emergencia,Regular,Bueno,4992011,queja_usuario,Comentario sobre el mantenimiento 89
MNT-00090,13/12/2023,Correctivo,Bueno,Regular,4988363,preventivo,Comentario sobre el mantenimiento 90
MNT-00091,21/10/2023,Emergencia,Bueno,Malo,33142,queja_usuario,Comentario sobre el mantenimiento 91
MNT-00092,04/02/2024,Correctivo,Malo,Bueno,60137,queja_usuario,Comentario sobre el mantenimiento 92
MNT-00093,21/06/2024,Emergencia,Regular,Bueno,5025124,preventivo,Comentario sobre el mantenimiento 93
MNT-00094,19/01/2024,Emergencia,Regular,Malo,59883,queja_usuario,Comentario sobre el mantenimiento 94
MNT-00095,16/02/2024,Emergencia,Malo,Bueno,34743,preventivo,Comentario sobre el mantenimiento 95
MNT-00096,28/10/2023,Preventivo,Regular,Malo,7895400,preventivo,Comentario sobre el mantenimiento 96
MNT-00097,07/10/2024,Emergencia,Malo,Bueno,8817614,preventivo,Comentario sobre el mantenimiento 97
MNT-00098,10/05/2024,Emergencia,Regular,Malo,7672874,preventivo,Comentario sobre el mantenimiento 98
MNT-00099,03/04/2024,Correctivo,Regular,Regular,7588210,queja_usuario,Comentario sobre el mantenimiento 99
MNT-00100,26/01/2024,Correctivo,Bueno,Regular,60020,queja_usuario,Comentario sobre el mantenimiento 100
MNT-00101,23/06/2024,Emergencia,Regular,Bueno,5174671,queja_usuario,Comentario sobre el mantenimiento 101
MNT-00102,08/03/2024,Emergencia,Regular,Regular,58499,preventivo,Comentario sobre el mantenimiento 102
MNT-00103,27/09/2024,Preventivo,Malo,Malo,35152,preventivo,Comentario sobre el mantenimiento 103
MNT-00104,17/06/2024,Correctivo,Malo,Regular,59016,preventivo,Comentario sobre el mantenimiento 104
MNT-00105,07/04/2024,Emergencia,Regular,Malo,3568696,preventivo,Comentario sobre el mantenimiento 105
MNT-00106,23/12/2023,Correctivo,Regular,Malo,21125,preventivo,Comentario sobre el mantenimiento 106
MNT-00107,03/06/2024,Correctivo,Regular,Bueno,5241059,queja_usuario,Comentario sobre el mantenimiento 107
MNT-00108,07/08/2024,Emergencia,Regular,Regular,8941054,queja_usuario,Comentario sobre el mantenimiento 108
MNT-00109,12/12/2023,Preventivo,Bueno,Bueno,5658100,preventivo,Comentario sobre el mantenimiento 109
MNT-00110,25/01/2024,Emergencia,Malo,Bueno,5657902,preventivo,Comentario sobre el mantenimiento 110
MNT-00111,30/05/2024,Correctivo,Regular,Regular,25074,preventivo,Comentario sobre el mantenimiento 111
MNT-00112,07/07/2024,Correctivo,Malo,Bueno,59359,queja_usuario,Comentario sobre el mantenimiento 112
MNT-00113,03/02/2024,Emergencia,Malo,Bueno,20749,preventivo,Comentario sobre el mantenimiento 113
MNT-00114,11/02/2024,Preventivo,Malo,Bueno,6878958,preventivo,Comentario sobre el mantenimiento 114
MNT-00115,10/09/2024,Correctivo,Malo,Regular,58490,queja_usuario,Comentario sobre el mantenimiento 115
MNT-00116,04/04/2024,Emergencia,Malo,Bueno,7934559,preventivo,Comentario sobre el mantenimiento 116
MNT-00117,16/12/2023,Emergencia,Bueno,Bueno,6761239,preventivo,Comentario sobre el mantenimiento 117
MNT-00118,18/07/2024,Preventivo,Malo,Regular,6778176,queja_usuario,Comentario sobre el mantenimiento 118
MNT-00119,09/11/2023,Preventivo,Regular,Malo,9048980,queja_usuario,Comentario sobre el mantenimiento 119
MNT-00120,10/10/2024,Emergencia,Regular,Regular,6878761,queja_usuario,Comentario sobre el mantenimiento 120
MNT-00121,21/01/2024,Preventivo,Malo,Regular,19718,preventivo,Comentario sobre el mantenimiento 121
MNT-00122,31/03/2024,Preventivo,Malo,Bueno,4988105,queja_usuario,Comentario sobre el mantenimiento 122
MNT-00123,30/01/2024,Correctivo,Regular,Malo,21087,queja_usuario,Comentario sobre el mantenimiento 123
MNT-00124,18/10/2023,Correctivo,Regular,Malo,21536,preventivo,Comentario sobre el mantenimiento 124
MNT-00125,24/09/2024,Emergencia,Regular,Regular,20046,queja_usuario,Comentario sobre el mantenimiento 125
MNT-00126,15/11/2023,Correctivo,Bueno,Regular,21007,preventivo,Comentario sobre el mantenimiento 126
MNT-00127,06/12/2023,Correctivo,Malo,Regular,19426,preventivo,Comentario sobre el mantenimiento 127
MNT-00128,11/02/2024,Preventivo,Bueno,Malo,20187,preventivo,Comentario sobre el mantenimiento 128
MNT-00129,06/09/2024,Preventivo,Malo,Bueno,7927325,preventivo,Comentario sobre el mantenimiento 129
MNT-00130,18/07/2024,Preventivo,Malo,Malo,22445,queja_usuario,Comentario sobre el mantenimiento 130
MNT-00131,28/08/2024,Emergencia,Regular,Regular,33208,queja_usuario,Comentario sobre el mantenimiento 131
MNT-00132,10/09/2024,Preventivo,Regular,Regular,5249944,preventivo,Comentario sobre el mantenimiento 132
MNT-00133,22/07/2024,Correctivo,Bueno,Regular,20585,queja_usuario,Comentario sobre el mantenimiento 133
MNT-00134,15/05/2024,Emergencia,Regular,Bueno,8971301,queja_usuario,Comentario sobre el mantenimiento 134
MNT-00135,17/12/2023,Preventivo,Bueno,Bueno,9177931,queja_usuario,Comentario sobre el mantenimiento 135
MNT-00136,14/04/2024,Correctivo,Regular,Malo,5240867,preventivo,Comentario sobre el mantenimiento 136
MNT-00137,01/01/2024,Preventivo,Regular,Bueno,58294,preventivo,Comentario sobre el mantenimiento 137
MNT-00138,08/01/2024,Preventivo,Malo,Bueno,60060,preventivo,Comentario sobre el mantenimiento 138
MNT-00139,14/06/2024,Preventivo,Malo,Regular,7792012,queja_usuario,MNT-00139_Comentarios_Desconocido
MNT-00140,30/01/2024,Preventivo,Regular,Bueno,33703,preventivo,Comentario sobre el mantenimiento 140
MNT-00141,16/11/2023,Correctivo,Bueno,Bueno,7802478,preventivo,Comentario sobre el mantenimiento 141
MNT-00142,02/11/2023,Preventivo,Regular,Bueno,24922,queja_usuario,Comentario sobre el mantenimiento 142
MNT-00143,18/03/2024,Correctivo,Bueno,Malo,33593,preventivo,Comentario sobre el mantenimiento 143
MNT-00144,29/01/2024,Emergencia,Malo,Regular,8987321,queja_usuario,Comentario sobre el mantenimiento 144
MNT-00145,25/09/2024,Emergencia,Bueno,Bueno,9493030,queja_usuario,Comentario sobre el mantenimiento 145
MNT-00146,23/02/2024,Preventivo,Malo,Regular,7240162,preventivo,Comentario sobre el mantenimiento 146
MNT-00147,22/07/2024,Preventivo,Malo,Bueno,21861,preventivo,Comentario sobre el mantenimiento 147
MNT-00148,15/02/2024,Emergencia,Regular,Regular,4737960,queja_usuario,Comentario sobre el mantenimiento 148
MNT-00149,12/08/2024,Preventivo,Regular,Regular,5231453,queja_usuario,Comentario sobre el mantenimiento 149
MNT-00150,08/09/2024,Preventivo,Regular,Regular,24872,queja_usuario,Comentario sobre el mantenimiento 150
MNT-00151,19/01/2024,Emergencia,Bueno,Bueno,33550,queja_usuario,Comentario sobre el mantenimiento 151
MNT-00152,06/10/2024,Preventivo,Bueno,Bueno,58615,preventivo,Comentario sobre el mantenimiento 152
MNT-00153,28/11/2023,Emergencia,Malo,Malo,24746,queja_usuario,Comentario sobre el mantenimiento 153
MNT-00154,24/02/2024,Preventivo,Regular,Regular,9295465,preventivo,Comentario sobre el mantenimiento 154
MNT-00155,28/01/2024,Correctivo,Malo,Bueno,9184890,preventivo,Comentario sobre el mantenimiento 155
MNT-00156,08/11/2023,Preventivo,Malo,Regular,4960333,queja_usuario,Comentario sobre el mantenimiento 156
MNT-00157,08/05/2024,Emergencia,Bueno,Malo,4730882,preventivo,Comentario sobre el mantenimiento 157
MNT-00158,07/02/2024,Correctivo,Regular,Bueno,58788,preventivo,Comentario sobre el mantenimiento 158
MNT-00159,06/02/2024,Correctivo,Malo,Regular,18846,preventivo,Comentario sobre el mantenimiento 159
MNT-00160,21/01/2024,Preventivo,Regular,Bueno,33976,preventivo,Comentario sobre el mantenimiento 160
MNT-00161,28/03/2024,Preventivo,Malo,Malo,19533,queja_usuario,Comentario sobre el mantenimiento 161
MNT-00162,22/06/2024,Emergencia,Regular,Malo,4987839,queja_usuario,Comentario sobre el mantenimiento 162
MNT-00163,11/06/2023,Correctivo,Bueno,Malo,4987794,queja_usuario,Comentario sobre el mantenimiento 163
MNT-00164,01/05/2024,Correctivo,Bueno,Malo,24788,queja_usuario,Comentario sobre el mantenimiento 164
MNT-00165,03/08/2024,Emergencia,Malo,Malo,3568750,preventivo,Comentario sobre el mantenimiento 165
MNT-00166,09/01/2024,Correctivo,Regular,Bueno,5658962,preventivo,Comentario sobre el mantenimiento 166
MNT-00167,07/06/2024,Correctivo,Bueno,Bueno,3994638,queja_usuario,Comentario sobre el mantenimiento 167
MNT-00168,12/01/2023,Correctivo,Regular,Bueno,19215,queja_usuario,Comentario sobre el mantenimiento 168
MNT-00169,16/04/2024,Correctivo,Bueno,Regular,33282,preventivo,Comentario sobre el mantenimiento 169
MNT-00170,29/01/2024,Correctivo,Bueno,Regular,59776,preventivo,Comentario sobre el mantenimiento 170
MNT-00171,05/03/2024,Preventivo,Bueno,Bueno,5599622,queja_usuario,Comentario sobre el mantenimiento 171
MNT-00172,16/08/2024,Preventivo,Malo,Regular,9470338,queja_usuario,Comentario sobre el mantenimiento 172
MNT-00173,13/11/2023,Emergencia,Regular,Malo,7889390,queja_usuario,Comentario sobre el mantenimiento 173
MNT-00174,16/09/2024,Emergencia,Malo,Bueno,21844,queja_usuario,Comentario sobre el mantenimiento 174
MNT-00175,23/08/2024,Correctivo,Regular,Malo,5658594,preventivo,Comentario sobre el mantenimiento 175
MNT-00176,23/09/2024,Correctivo,Regular,Regular,20168,queja_usuario,Comentario sobre el mantenimiento 176
MNT-00177,09/05/2024,Emergencia,Malo,Malo,4737934,preventivo,Comentario sobre el mantenimiento 177
MNT-00178,05/10/2024,Preventivo,Malo,Malo,25837,queja_usuario,Comentario sobre el mantenimiento 178
MNT-00179,27/08/2024,Preventivo,Regular,Malo,7794412,queja_usuario,Comentario sobre el mantenimiento 179
MNT-00180,30/03/2024,Correctivo,Bueno,Bueno,5173936,preventivo,Comentario sobre el mantenimiento 180
MNT-00181,05/12/2023,Emergencia,Bueno,Regular,8804525,preventivo,Comentario sobre el mantenimiento 181
MNT-00182,16/09/2024,Correctivo,Malo,Regular,35183,preventivo,Comentario sobre el mantenimiento 182
MNT-00183,18/10/2023,Preventivo,Regular,Bueno,21845,queja_usuario,Comentario sobre el mantenimiento 183
MNT-00184,25/07/2024,Preventivo,Regular,Regular,58391,queja_usuario,Comentario sobre el mantenimiento 184
MNT-00185,07/03/2024,Emergencia,Regular,Bueno,4737877,queja_usuario,Comentario sobre el mantenimiento 185
MNT-00186,13/11/2023,Preventivo,Regular,Regular,7928440,preventivo,Comentario sobre el mantenimiento 186
MNT-00187,02/04/2024,Preventivo,Regular,Regular,9284743,preventivo,Comentario sobre el mantenimiento 187
MNT-00188,03/01/2024,Preventivo,Regular,Regular,7526687,preventivo,Comentario sobre el mantenimiento 188
MNT-00189,19/11/2023,Emergencia,Regular,Bueno,4750008,preventivo,Comentario sobre el mantenimiento 189
MNT-00190,29/08/2024,Correctivo,Regular,Regular,53208,queja_usuario,Comentario sobre el mantenimiento 190
MNT-00191,31/12/2023,Emergencia,Regular,Bueno,3576050,queja_usuario,Comentario sobre el mantenimiento 191
MNT-00192,04/05/2024,Emergencia,Malo,Malo,3575561,preventivo,Comentario sobre el mantenimiento 192
MNT-00193,04/05/2024,Preventivo,Malo,Malo,22438,preventivo,Comentario sobre el mantenimiento 193
MNT-00194,22/01/2024,Emergencia,Regular,Malo,4795148,preventivo,Comentario sobre el mantenimiento 194
MNT-00195,05/09/2024,Preventivo,Regular,Bueno,19838,queja_usuario,Comentario sobre el mantenimiento 195
MNT-00196,03/05/2024,Emergencia,Bueno,Malo,5602454,preventivo,Comentario sobre el mantenimiento 196
MNT-00197,20/11/2023,Correctivo,Bueno,Regular,33170,preventivo,Comentario sobre el mantenimiento 197
MNT-00198,08/01/2024,Correctivo,Bueno,Regular,5245394,preventivo,Comentario sobre el mantenimiento 198
MNT-00199,04/10/2024,Preventivo,Regular,Bueno,5220803,preventivo,Comentario sobre el mantenimiento 199
MNT-00200,11/10/2024,Emergencia,Malo,Bueno,19792,queja_usuario,Comentario sobre el mantenimiento 200
MNT-00201,01/05/2024,Preventivo,Regular,Bueno,58062,preventivo,Comentario sobre el mantenimiento 201
MNT-00202,29/04/2024,Preventivo,Regular,Malo,7794492,preventivo,Comentario sobre el mantenimiento 202
MNT-00203,30/12/2023,Preventivo,Regular,Regular,8978410,preventivo,Comentario sobre el mantenimiento 203
MNT-00204,25/06/2024,Preventivo,Regular,Bueno,59356,queja_usuario,Comentario sobre el mantenimiento 204
MNT-00205,18/08/2024,Preventivo,Regular,Malo,3530725,preventivo,Comentario sobre el mantenimiento 205
MNT-00206,14/07/2024,Preventivo,Bueno,Regular,5237088,queja_usuario,Comentario sobre el mantenimiento 206
MNT-00207,08/03/2024,Emergencia,Regular,Malo,20095,preventivo,Comentario sobre el mantenimiento 207
MNT-00208,20/03/2024,Preventivo,Regular,Bueno,7896549,preventivo,Comentario sobre el mantenimiento 208
MNT-00209,08/05/2024,Emergencia,Bueno,Malo,9291545,preventivo,Comentario sobre el mantenimiento 209
MNT-00210,17/10/2023,Preventivo,Malo,Bueno,22165,queja_usuario,Comentario sobre el mantenimiento 210
MNT-00211,21/10/2023,Correctivo,Bueno,Regular,3577005,queja_usuario,Comentario sobre el mantenimiento 211
MNT-00212,18/06/2024,Emergencia,Bueno,Malo,35117,preventivo,Comentario sobre el mantenimiento 212
MNT-00213,27/12/2023,Preventivo,Malo,Malo,4984514,preventivo,Comentario sobre el mantenimiento 213
MNT-00214,21/02/2024,Emergencia,Bueno,Regular,19933,preventivo,Comentario sobre el mantenimiento 214
MNT-00215,14/11/2023,Correctivo,Malo,Malo,7168585,queja_usuario,Comentario sobre el mantenimiento 215
MNT-00216,28/09/2024,Preventivo,Bueno,Regular,21289,preventivo,Comentario sobre el mantenimiento 216
MNT-00217,20/02/2024,Preventivo,Malo,Regular,6777775,queja_usuario,Comentario sobre el mantenimiento 217
MNT-00218,04/02/2024,Preventivo,Malo,Malo,4731212,preventivo,Comentario sobre el mantenimiento 218
MNT-00219,18/11/2023,Preventivo,Bueno,Regular,7125615,preventivo,Comentario sobre el mantenimiento 219
MNT-00220,08/01/2024,Correctivo,Bueno,Bueno,7126931,queja_usuario,Comentario sobre el mantenimiento 220
MNT-00221,17/06/2024,Correctivo,Regular,Bueno,33821,queja_usuario,Comentario sobre el mantenimiento 221
MNT-00222,18/10/2023,Preventivo,Regular,Regular,9424313,preventivo,Comentario sobre el mantenimiento 222
MNT-00223,19/07/2024,Emergencia,Bueno,Regular,5238914,preventivo,Comentario sobre el mantenimiento 223
MNT-00224,10/07/2024,Emergencia,Regular,Bueno,21070,queja_usuario,Comentario sobre el mantenimiento 224
MNT-00225,09/06/2024,Preventivo,Malo,Bueno,58422,preventivo,Comentario sobre el mantenimiento 225
MNT-00226,01/10/2024,Preventivo,Bueno,Regular,20999,queja_usuario,Comentario sobre el mantenimiento 226
MNT-00227,13/08/2024,Emergencia,Bueno,Bueno,59451,queja_usuario,Comentario sobre el mantenimiento 227
MNT-00228,31/03/2024,Preventivo,Regular,Bueno,7903920,preventivo,Comentario sobre el mantenimiento 228
MNT-00229,28/03/2024,Correctivo,Bueno,Bueno,9129847,queja_usuario,Comentario sobre el mantenimiento 229
MNT-00230,20/08/2024,Emergencia,Malo,Bueno,3963368,preventivo,Comentario sobre el mantenimiento 230
MNT-00231,18/12/2023,Correctivo,Regular,Bueno,4963385,preventivo,Comentario sobre el mantenimiento 231
MNT-00232,02/06/2024,Correctivo,Regular,Regular,19304,preventivo,Comentario sobre el mantenimiento 232
MNT-00233,14/05/2024,Emergencia,Bueno,Regular,3569328,queja_usuario,Comentario sobre el mantenimiento 233
MNT-00234,20/09/2024,Emergencia,Malo,Regular,58975,queja_usuario,Comentario sobre el mantenimiento 234
MNT-00235,15/10/2023,Preventivo,Malo,Regular,58315,queja_usuario,Comentario sobre el mantenimiento 235
MNT-00236,08/07/2024,Preventivo,Regular,Bueno,33091,queja_usuario,Comentario sobre el mantenimiento 236
MNT-00237,06/06/2024,Correctivo,Malo,Regular,22475,preventivo,Comentario sobre el mantenimiento 237
MNT-00238,22/04/2024,Emergencia,Bueno,Regular,57987,preventivo,Comentario sobre el mantenimiento 238
MNT-00239,27/08/2024,Emergencia,Malo,Regular,3567922,preventivo,Comentario sobre el mantenimiento 239
MNT-00240,26/11/2023,Emergencia,Regular,Malo,3743757,queja_usuario,Comentario sobre el mantenimiento 240
MNT-00241,27/03/2024,Correctivo,Bueno,Malo,3531311,queja_usuario,Comentario sobre el mantenimiento 241
MNT-00242,02/03/2024,Correctivo,Bueno,Malo,7927335,queja_usuario,Comentario sobre el mantenimiento 242
MNT-00243,14/02/2024,Correctivo,Bueno,Malo,9435347,queja_usuario,Comentario sobre el mantenimiento 243
MNT-00244,28/01/2024,Preventivo,Regular,Regular,33919,queja_usuario,Comentario sobre el mantenimiento 244
MNT-00245,12/02/2024,Emergencia,Bueno,Bueno,24947,preventivo,Comentario sobre el mantenimiento 245
MNT-00246,23/03/2024,Correctivo,Malo,Malo,5492837,preventivo,Comentario sobre el mantenimiento 246
MNT-00247,16/08/2024,Correctivo,Malo,Regular,32734,queja_usuario,Comentario sobre el mantenimiento 247
MNT-00248,18/01/2024,Correctivo,Malo,Bueno,5128756,preventivo,Comentario sobre el mantenimiento 248
MNT-00249,28/08/2024,Preventivo,Bueno,Regular,9294740,queja_usuario,Comentario sobre el mantenimiento 249
MNT-00250,04/04/2024,Emergencia,Regular,Regular,33316,queja_usuario,Comentario sobre el mantenimiento 250
MNT-00251,18/04/2024,Emergencia,Malo,Regular,8891693,preventivo,Comentario sobre el mantenimiento 251
