ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
90,4,3,Muy bueno,18021,27/04/2022
91,1,2,Regular,18534,05/08/2021
92,1,1,Deficiente,5237132,25/03/2023
93,1,2,Regular,17977,18/04/2023
94,2,2,Aceptable,18615,16/03/2022
95,1,2,Regular,17030,27/10/2023
96,2,3,Aceptable,16840,11/09/2023
97,3,4,Muy bueno,16855,01/11/2023
98,3,4,Muy bueno,17996,01/07/2022
99,4,4,Excelente,17418,12/09/2022
100,3,4,Muy bueno,17447,14/01/2021
101,3,2,Aceptable,5653899,10/05/2022
102,3,3,Muy bueno,4749894,08/06/2021
103,2,3,Aceptable,17848,18/11/2023
104,1,1,Deficiente,52192,29/09/2022
105,4,3,Muy bueno,17378,24/05/2023
106,5,4,Excelente,7180264,12/12/2023
107,1,1,Deficiente,18232,27/07/2022
108,2,3,Aceptable,16741,04/08/2021
109,2,3,Aceptable,18569,24/11/2023
110,2,3,Aceptable,17851,25/05/2021
111,3,3,Muy bueno,52095,17/04/2021
112,1,1,Deficiente,16696,17/05/2022
113,1,2,Regular,17813,16/08/2021
114,5,5,Excelente,17933,13/07/2022
115,4,3,Muy bueno,17375,06/04/2023
116,4,5,Excelente,52214,27/05/2022
117,5,5,Excelente,17755,25/12/2021
118,5,5,Excelente,18331,08/01/2022
119,2,3,Aceptable,17560,22/05/2022
120,2,2,Aceptable,16966,10/08/2021
121,4,3,Muy bueno,17007,30/03/2023
122,2,1,Regular,3569210,16/11/2023
123,4,5,Excelente,7021749,04/09/2023
124,4,3,Muy bueno,3568708,13/04/2021
125,4,5,Excelente,4988273,05/05/2021
126,3,2,Aceptable,7886327,21/11/2022
127,1,2,Regular,18497,02/02/2022
128,4,5,Excelente,17760,21/08/2022
129,1,1,Deficiente,17613,10/03/2022
130,5,4,Excelente,18212,31/12/2023
131,4,4,Excelente,17983,23/01/2023
132,1,1,Deficiente,7165658,24/09/2021
133,1,1,Deficiente,5219935,03/11/2022
134,2,1,Regular,52078,27/10/2023
135,4,3,Muy bueno,17390,16/04/2021
136,3,2,Aceptable,17476,31/12/2021
137,2,3,Aceptable,5237130,25/03/2022
138,3,4,Muy bueno,5071591,28/11/2021
139,4,5,Excelente,17290,16/08/2022
140,4,3,Muy bueno,52229,11/03/2023
141,2,3,Aceptable,5653899,24/05/2022
142,3,4,Muy bueno,9049652,13/02/2023
143,4,3,Muy bueno,18391,05/12/2023
144,5,5,Excelente,16967,20/12/2022
145,5,4,Excelente,18479,28/09/2021
146,1,2,Regular,16915,04/12/2022
147,2,1,Regular,17830,01/10/2021
148,5,5,Excelente,17961,01/02/2023
149,1,1,Deficiente,16897,18/09/2022
150,4,3,Muy bueno,7129053,01/08/2022
151,3,3,Muy bueno,18268,29/04/2023
152,5,5,Excelente,52223,29/04/2023
153,5,5,Excelente,17735,06/11/2023
154,1,1,Deficiente,18466,26/08/2022
155,1,1,Deficiente,7928004,16/05/2022
156,2,3,Aceptable,17465,06/01/2021
157,3,2,Aceptable,7356654,29/06/2021
158,2,1,Regular,5158861,10/01/2021
159,1,2,Regular,7182466,12/10/2021
160,4,4,Excelente,17060,25/05/2021
161,5,5,Excelente,17009,19/11/2022
162,1,2,Regular,16671,20/08/2022
163,2,1,Regular,17016,03/06/2023
164,1,1,Deficiente,17278,05/04/2023
165,1,1,Deficiente,3531279,16/10/2021
166,4,4,Excelente,7356654,11/05/2022
167,2,1,Regular,461342,01/07/2021
168,2,1,Regular,18545,30/07/2021
169,5,4,Excelente,7356671,16/01/2023
170,3,2,Aceptable,5240107,22/10/2021
171,1,2,Regular,16743,22/06/2023
172,2,2,Aceptable,16892,06/02/2022
173,3,4,Muy bueno,18416,21/06/2022
174,5,5,Excelente,17530,08/08/2023
175,3,3,Muy bueno,4986142,04/02/2022
176,4,3,Muy bueno,8799540,08/09/2022
177,4,5,Excelente,52219,09/08/2022
178,5,4,Excelente,7126585,21/12/2022
179,2,1,Regular,17039,06/03/2021
180,5,5,Excelente,17847,18/12/2022
181,5,5,Excelente,5219920,13/05/2021
182,2,2,Aceptable,18325,12/07/2021
183,4,4,Excelente,17432,20/11/2023
184,2,2,Aceptable,18520,22/11/2022
185,1,1,Deficiente,5240286,15/06/2023
186,1,1,Deficiente,17199,23/05/2021
187,3,3,Muy bueno,18060,13/04/2023
188,4,3,Muy bueno,18055,28/10/2023
189,4,4,Excelente,17225,30/09/2021
190,1,1,Deficiente,17037,03/01/2021
191,3,2,Aceptable,5237123,21/01/2022
192,4,4,Excelente,17855,21/12/2023
193,3,4,Muy bueno,7247843,15/02/2021
194,4,5,Excelente,16700,21/05/2022
195,1,2,Regular,52223,15/02/2021
196,3,2,Aceptable,17511,19/12/2022
197,2,3,Aceptable,18004,02/01/2022
198,3,2,Aceptable,5056315,07/05/2023
199,2,3,Aceptable,17694,04/07/2021
200,5,5,Excelente,17150,21/08/2022
201,3,3,Muy bueno,52135,27/12/2021
202,2,2,Aceptable,52045,19/07/2021
203,1,1,Deficiente,18164,09/02/2021
204,1,1,Deficiente,18165,28/07/2023
205,2,1,Regular,18152,10/02/2021
206,1,2,Regular,17145,01/02/2021
207,3,3,Muy bueno,8914013,29/01/2022
208,1,1,Deficiente,17482,14/05/2023
209,3,3,Muy bueno,52175,10/05/2022
210,2,2,Aceptable,17052,07/07/2022
211,5,5,Excelente,18377,28/05/2023
212,3,3,Muy bueno,52224,31/10/2022
213,2,2,Aceptable,18069,06/02/2023
214,3,2,Aceptable,17992,08/02/2022
215,1,1,Deficiente,18347,17/07/2021
216,1,1,Deficiente,18068,30/12/2021
217,1,1,Deficiente,17537,01/12/2023
218,2,1,Regular,18110,27/08/2023
219,1,2,Regular,18372,28/11/2023
220,2,2,Aceptable,17208,03/09/2022
221,3,4,Muy bueno,461342,11/04/2023
222,3,4,Muy bueno,17515,17/01/2021
223,5,5,Excelente,17685,11/08/2022
224,1,1,Deficiente,17942,29/05/2023
225,3,2,Aceptable,17563,01/04/2021
226,4,5,Excelente,7840483,05/10/2022
227,1,1,Deficiente,18287,02/05/2022
228,1,1,Deficiente,18393,25/03/2023
229,3,2,Aceptable,16872,03/08/2021
230,3,4,Muy bueno,451348,27/01/2022
231,3,4,Muy bueno,18494,19/09/2022
232,3,4,Muy bueno,7591554,18/10/2023
233,5,5,Excelente,3573055,04/02/2021
234,5,5,Excelente,18434,11/02/2022
235,5,4,Excelente,18067,30/04/2022
236,4,4,Excelente,18317,10/11/2023
237,4,4,Excelente,5246186,29/07/2022
238,1,2,Regular,7125671,28/01/2023
239,1,1,Deficiente,17433,01/09/2022
240,5,4,Excelente,5653967,05/12/2023
241,5,4,Excelente,3573055,05/09/2022
242,3,2,Aceptable,17319,11/10/2023
243,2,3,Aceptable,5195568,26/09/2021
244,4,5,Excelente,17154,07/07/2023
245,3,2,Aceptable,17885,15/12/2021
246,5,5,Excelente,18505,03/12/2021
247,2,3,Aceptable,18327,28/11/2023
248,5,4,Excelente,7130028,21/05/2023
249,2,3,Aceptable,18063,12/01/2023
250,1,1,Deficiente,17148,04/06/2021
251,3,4,Muy bueno,17256,06/08/2021
252,1,1,Deficiente,7126156,20/11/2022
253,1,1,Deficiente,7764194,05/03/2022
254,4,5,Excelente,17326,14/03/2021
255,1,1,Deficiente,18636,08/11/2021
256,1,2,Regular,7107695,09/01/2021
257,3,3,Muy bueno,17761,09/10/2021
258,5,5,Excelente,461342,13/09/2022
259,2,1,Regular,18292,20/10/2023
260,3,3,Muy bueno,461181,31/07/2021
261,2,2,Aceptable,17562,25/06/2023
262,1,2,Regular,17527,06/02/2022
263,3,3,Muy bueno,52200,15/09/2022
264,2,2,Aceptable,17604,02/09/2023
265,4,3,Muy bueno,18413,17/05/2023
266,2,1,Regular,16725,01/07/2022
267,4,5,Excelente,18268,04/04/2021
268,2,2,Aceptable,17977,27/12/2022
269,1,2,Regular,17649,30/07/2021
270,5,5,Excelente,6819611,22/02/2021
271,3,4,Muy bueno,52189,30/04/2023
272,2,1,Regular,17092,04/11/2023
273,1,2,Regular,17929,21/03/2021
274,5,4,Excelente,3566363,16/01/2022
275,3,4,Muy bueno,5653896,04/09/2022
276,1,1,Deficiente,18487,19/12/2021
277,4,5,Excelente,17899,09/08/2021
278,1,1,Deficiente,17746,23/09/2023
279,3,4,Muy bueno,17424,10/07/2022
280,4,5,Excelente,17996,14/10/2023
281,3,4,Muy bueno,7107055,06/07/2022
282,1,1,Deficiente,18297,02/06/2022
283,5,5,Excelente,17505,05/11/2023
284,3,3,Muy bueno,461342,24/12/2022
285,4,3,Muy bueno,5158861,27/02/2022
286,1,2,Regular,5213823,31/03/2021
287,4,4,Excelente,3568169,27/10/2021
288,3,4,Muy bueno,17046,18/02/2021
289,5,5,Excelente,7537965,13/01/2021
290,1,1,Deficiente,17646,17/09/2021
291,4,5,Excelente,5237139,13/04/2023
292,4,3,Muy bueno,52102,30/07/2021
293,5,5,Excelente,17980,16/09/2022
294,3,4,Muy bueno,17760,16/11/2022
295,1,1,Deficiente,17593,03/09/2023
296,5,5,Excelente,18005,03/12/2021
297,5,5,Excelente,16785,23/07/2021
298,2,1,Regular,17578,08/10/2023
299,5,4,Excelente,17949,23/12/2022
300,4,5,Excelente,17395,27/07/2021
301,1,1,Deficiente,17549,14/01/2022
302,1,2,Regular,16776,22/09/2022
303,3,2,Aceptable,16743,11/11/2022
304,1,2,Regular,52060,10/07/2023
305,5,5,Excelente,17975,01/04/2022
306,2,1,Regular,18054,25/08/2022
307,4,4,Excelente,17276,17/02/2022
308,1,1,Deficiente,7928425,27/11/2022
309,2,3,Aceptable,17562,15/03/2021
310,4,3,Muy bueno,17555,17/09/2023
311,3,3,Muy bueno,8799606,21/04/2021
312,2,3,Aceptable,18140,04/09/2021
313,2,3,Aceptable,17342,05/02/2022
314,4,5,Excelente,17426,07/08/2022
315,4,5,Excelente,18508,25/10/2021
316,5,5,Excelente,17278,24/06/2023
317,5,4,Excelente,16959,06/12/2021
318,4,5,Excelente,17207,09/02/2023
319,5,5,Excelente,5653967,11/10/2022
320,4,5,Excelente,17897,05/02/2023
321,4,4,Excelente,5241187,07/09/2023
322,3,2,Aceptable,18467,19/01/2021
323,4,5,Excelente,17664,19/08/2021
324,1,2,Regular,52141,18/10/2022
325,3,3,Muy bueno,18604,21/07/2021
326,4,3,Muy bueno,3573331,08/04/2022
327,5,4,Excelente,52177,08/11/2023
328,3,4,Muy bueno,18485,22/06/2023
329,2,2,Aceptable,8218587,24/03/2023
330,2,1,Regular,5075332,12/01/2022
331,1,1,Deficiente,5237113,10/10/2022
332,5,5,Excelente,18279,11/04/2023
333,1,1,Deficiente,17194,05/09/2023
334,4,3,Muy bueno,17383,15/02/2022
335,5,5,Excelente,16686,20/07/2021
336,4,4,Excelente,17945,29/01/2023
337,1,1,Deficiente,52184,07/11/2023
338,1,1,Deficiente,5246197,20/04/2023
339,4,5,Excelente,17136,24/08/2021
340,3,3,Muy bueno,17990,14/06/2022
341,4,4,Excelente,18363,17/03/2022
342,1,1,Deficiente,7126156,28/10/2021
343,4,5,Excelente,8799607,26/01/2022
344,2,1,Regular,16887,02/12/2023
345,2,3,Aceptable,17745,27/05/2022
346,5,4,Excelente,9187543,10/11/2022
347,3,4,Muy bueno,7107693,04/09/2021
348,1,1,Deficiente,17027,26/06/2023
349,3,2,Aceptable,7107693,07/06/2022
350,5,5,Excelente,6819625,21/02/2022
351,5,4,Excelente,17939,24/05/2023
352,5,4,Excelente,17324,22/03/2023
353,2,3,Aceptable,17814,16/03/2023
354,3,4,Muy bueno,17612,04/06/2021
355,4,4,Excelente,17242,05/10/2021
356,3,4,Muy bueno,7168554,27/05/2022
357,2,2,Aceptable,5653909,26/08/2023
358,4,5,Excelente,7591618,30/12/2022
359,1,1,Deficiente,4737941,02/02/2021
360,3,4,Muy bueno,17445,09/11/2023
361,1,1,Deficiente,8799553,28/03/2022
362,1,1,Deficiente,17965,28/09/2021
363,4,3,Muy bueno,7403983,25/01/2023
364,1,2,Regular,8799606,14/07/2023
365,4,3,Muy bueno,17206,17/12/2023
366,5,5,Excelente,18506,10/07/2021
367,1,2,Regular,16822,08/07/2022
368,2,1,Regular,18068,21/01/2023
369,4,3,Muy bueno,18135,11/01/2023
370,1,1,Deficiente,3573052,03/04/2021
371,1,1,Deficiente,5799343,19/11/2022
372,2,2,Aceptable,17065,26/05/2021
373,3,4,Muy bueno,7125619,21/03/2023
374,3,3,Muy bueno,7248182,23/10/2021
375,3,2,Aceptable,5653965,03/11/2021
376,5,5,Excelente,17425,15/05/2023
377,5,4,Excelente,18066,08/02/2021
378,2,1,Regular,17593,02/11/2022
379,3,2,Aceptable,16770,12/01/2023
380,5,5,Excelente,17754,20/08/2022
381,1,1,Deficiente,3569222,10/09/2022
382,3,3,Muy bueno,9294001,24/09/2022
383,5,5,Excelente,16965,03/04/2021
384,1,1,Deficiente,18374,10/10/2023
385,1,1,Deficiente,16972,14/07/2023
386,2,1,Regular,17064,23/06/2023
387,5,5,Excelente,17392,08/06/2023
388,5,5,Excelente,18447,04/07/2022
389,5,4,Excelente,52159,13/07/2022
390,1,2,Regular,4749887,11/07/2023
391,5,5,Excelente,18393,05/10/2023
392,1,1,Deficiente,17158,29/06/2021
393,4,4,Excelente,18071,11/12/2021
394,2,2,Aceptable,8914013,16/07/2023
395,1,1,Deficiente,17642,10/12/2023
396,1,1,Deficiente,17505,23/08/2022
397,5,5,Excelente,16964,12/01/2022
398,5,4,Excelente,7889423,18/01/2021
399,2,3,Aceptable,18422,30/09/2023
400,3,2,Aceptable,18493,15/01/2021
401,5,5,Excelente,3740132,13/10/2022
402,3,2,Aceptable,18030,04/02/2022
403,4,4,Excelente,16973,27/11/2022
404,2,1,Regular,17869,24/11/2021
405,3,3,Muy bueno,52073,23/10/2022
406,2,3,Aceptable,16957,05/09/2022
407,2,2,Aceptable,7840483,14/09/2022
408,5,5,Excelente,7126156,15/09/2022
409,2,3,Aceptable,17251,18/09/2023
410,4,3,Muy bueno,7886698,15/11/2021
411,5,5,Excelente,5240105,03/11/2021
412,5,5,Excelente,17203,05/11/2021
413,2,2,Aceptable,17122,11/08/2022
414,4,3,Muy bueno,7162223,10/11/2022
415,5,5,Excelente,52199,22/06/2023
416,2,2,Aceptable,17931,07/12/2021
417,1,1,Deficiente,16663,16/02/2021
418,5,5,Excelente,3991326,12/06/2023
419,2,3,Aceptable,52221,02/12/2022
420,5,5,Excelente,16708,30/08/2021
421,2,3,Aceptable,17787,05/03/2023
422,3,4,Muy bueno,3573049,13/11/2023
423,3,3,Muy bueno,18634,17/11/2021
424,1,2,Regular,17682,05/03/2022
425,4,5,Excelente,17692,26/03/2023
426,4,5,Excelente,17308,14/02/2022
427,3,2,Aceptable,18357,30/01/2023
428,4,3,Muy bueno,17034,26/04/2021
429,2,3,Aceptable,17109,27/02/2022
430,2,3,Aceptable,18125,20/09/2022
431,3,2,Aceptable,4731667,05/02/2022
432,5,5,Excelente,17406,12/02/2022
433,4,4,Excelente,17679,18/10/2022
434,1,1,Deficiente,17791,12/04/2023
435,3,4,Muy bueno,3568959,15/07/2021
436,1,1,Deficiente,17065,21/10/2021
437,2,1,Regular,18403,01/09/2021
438,4,4,Excelente,18124,26/05/2021
439,2,2,Aceptable,4988362,16/01/2021
440,2,1,Regular,17892,18/12/2021
441,1,1,Deficiente,18115,16/12/2021
442,3,3,Muy bueno,18578,17/02/2023
443,3,4,Muy bueno,17740,06/02/2021
444,5,5,Excelente,7943778,06/02/2021
445,3,2,Aceptable,17853,25/12/2021
446,1,1,Deficiente,7127772,16/11/2022
447,4,3,Muy bueno,16753,02/01/2021
448,1,1,Deficiente,17331,14/03/2023
449,2,2,Aceptable,9397076,01/04/2023
450,2,1,Regular,7862341,11/07/2023
451,1,1,Deficiente,18272,11/04/2021
452,3,3,Muy bueno,17302,17/07/2022
453,1,1,Deficiente,17605,18/09/2023
454,2,2,Aceptable,17353,04/09/2021
455,2,1,Regular,5240280,15/04/2023
456,5,4,Excelente,52155,04/04/2021
457,5,5,Excelente,17069,12/04/2021
458,4,3,Muy bueno,17019,01/04/2022
459,5,5,Excelente,17504,27/07/2022
460,1,1,Deficiente,17341,01/03/2021
461,5,5,Excelente,16911,21/06/2022
462,1,1,Deficiente,16788,29/10/2023
463,2,1,Regular,5237137,08/04/2023
464,1,1,Deficiente,17651,27/11/2022
465,2,1,Regular,17625,24/07/2021
466,2,2,Aceptable,17517,24/02/2023
467,3,2,Aceptable,52204,13/05/2021
468,4,5,Excelente,3991019,27/04/2023
469,4,3,Muy bueno,18037,28/12/2021
470,3,3,Muy bueno,18446,01/04/2023
471,1,1,Deficiente,8776080,18/06/2023
472,2,1,Regular,52175,05/06/2023
473,1,1,Deficiente,17690,14/06/2022
474,5,5,Excelente,17938,24/04/2023
475,5,5,Excelente,7356654,12/12/2021
476,4,4,Excelente,16693,24/08/2022
477,1,1,Deficiente,7928031,04/12/2022
478,5,5,Excelente,18558,26/10/2023
479,5,4,Excelente,17659,05/10/2023
480,3,3,Muy bueno,16886,08/11/2023
481,4,4,Excelente,7928425,19/03/2022
482,4,4,Excelente,17931,25/01/2021
483,5,5,Excelente,18431,25/12/2022
484,2,1,Regular,17249,26/07/2022
485,3,4,Muy bueno,18063,14/11/2022
486,3,2,Aceptable,18408,07/05/2022
487,2,3,Aceptable,16759,08/01/2023
488,5,5,Excelente,7403983,31/01/2022
489,1,2,Regular,17015,03/12/2022
490,5,5,Excelente,17513,04/03/2023
491,2,3,Aceptable,17904,05/05/2022
492,5,4,Excelente,7764194,19/06/2022
493,2,3,Aceptable,6819618,11/07/2021
494,1,2,Regular,18273,27/02/2022
495,4,5,Excelente,16960,09/12/2022
496,5,4,Excelente,17252,26/07/2023
497,1,1,Deficiente,4794560,18/01/2021
498,5,5,Excelente,17501,21/07/2023
499,3,4,Muy bueno,18457,19/07/2021
500,1,1,Deficiente,18167,18/10/2021
501,4,5,Excelente,17054,07/09/2023
502,4,5,Excelente,6905562,19/06/2021
503,3,2,Aceptable,18389,24/09/2022
504,3,2,Aceptable,16942,07/06/2021
505,3,3,Muy bueno,18344,06/07/2022
506,4,3,Muy bueno,18022,27/08/2021
507,1,1,Deficiente,18591,30/06/2022
508,2,3,Aceptable,7902706,21/07/2021
509,5,5,Excelente,17421,25/07/2021
510,1,1,Deficiente,17537,24/04/2022
511,3,3,Muy bueno,17029,05/01/2023
512,5,5,Excelente,8907324,03/06/2021
513,5,4,Excelente,52054,22/05/2021
514,3,4,Muy bueno,18615,07/05/2021
515,4,5,Excelente,7862341,25/05/2022
516,5,4,Excelente,17889,12/05/2022
517,1,1,Deficiente,3573005,09/02/2023
518,4,3,Muy bueno,18269,12/06/2023
519,5,5,Excelente,4988362,01/10/2022
520,5,4,Excelente,52131,02/08/2023
521,1,2,Regular,17814,19/02/2023
522,3,3,Muy bueno,17390,09/05/2022
523,1,1,Deficiente,17684,26/03/2022
524,5,5,Excelente,5237119,31/05/2021
525,4,5,Excelente,17366,06/02/2023
526,3,3,Muy bueno,4731210,16/08/2023
527,2,3,Aceptable,17081,27/07/2021
528,1,1,Deficiente,17153,13/06/2023
529,4,5,Excelente,8799532,30/05/2023
530,2,2,Aceptable,17336,14/04/2022
531,1,1,Deficiente,17942,16/05/2023
532,3,4,Muy bueno,17487,24/02/2022
533,5,5,Excelente,17750,28/03/2022
534,4,4,Excelente,5220259,23/10/2021
535,2,1,Regular,17890,23/11/2022
536,5,4,Excelente,16939,01/09/2022
537,5,5,Excelente,18545,02/12/2022
538,2,3,Aceptable,17415,30/11/2022
539,1,1,Deficiente,3573773,27/07/2022
540,4,3,Muy bueno,17755,17/11/2023
541,5,4,Excelente,17281,24/02/2023
542,3,4,Muy bueno,16859,02/06/2021
543,4,4,Excelente,18203,10/05/2023
544,2,3,Aceptable,17094,27/05/2022
545,2,1,Regular,52131,24/11/2021
546,1,1,Deficiente,16868,18/07/2023
547,5,5,Excelente,7403983,17/06/2023
548,1,1,Deficiente,16827,07/12/2023
549,2,2,Aceptable,18048,02/10/2022
550,1,2,Regular,17799,27/07/2023
551,3,2,Aceptable,9261936,14/02/2022
552,5,4,Excelente,17074,04/03/2022
553,5,4,Excelente,16701,01/08/2021
554,3,3,Muy bueno,5653737,24/01/2021
555,4,4,Excelente,16946,28/12/2022
556,2,3,Aceptable,5246189,26/07/2021
557,1,1,Deficiente,16943,30/10/2021
558,1,2,Regular,18559,02/07/2022
559,2,3,Aceptable,9263613,26/07/2021
560,5,4,Excelente,17334,27/01/2021
561,1,2,Regular,18147,15/12/2022
562,4,5,Excelente,16854,13/07/2022
563,1,1,Deficiente,17949,22/03/2022
564,4,4,Excelente,16726,07/06/2022
565,3,2,Aceptable,17996,12/10/2022
566,5,5,Excelente,18502,21/11/2023
567,2,2,Aceptable,17676,25/12/2022
568,3,3,Muy bueno,17045,28/02/2021
569,4,3,Muy bueno,17706,27/11/2022
570,5,4,Excelente,52060,03/02/2023
571,1,2,Regular,18307,10/02/2022
572,1,2,Regular,18437,11/11/2021
573,2,2,Aceptable,5246180,05/07/2021
574,3,3,Muy bueno,5237133,13/04/2023
575,1,1,Deficiente,18505,28/07/2021
576,3,2,Aceptable,3568708,05/10/2022
577,5,5,Excelente,17081,21/12/2021
578,2,2,Aceptable,5219929,20/01/2022
579,2,2,Aceptable,17839,01/06/2022
580,4,5,Excelente,18437,17/08/2022
581,2,3,Aceptable,16744,08/08/2022
582,3,2,Aceptable,4792806,09/01/2023
583,2,3,Aceptable,18627,25/10/2022
584,4,3,Muy bueno,18039,11/10/2023
585,5,5,Excelente,17133,04/11/2021
586,4,4,Excelente,4749889,21/06/2021
587,2,1,Regular,17133,24/08/2022
588,4,3,Muy bueno,18166,23/09/2022
589,3,2,Aceptable,7603212,03/01/2023
590,2,2,Aceptable,16886,30/01/2023
591,3,3,Muy bueno,18036,17/07/2021
592,5,4,Excelente,17172,05/04/2023
593,4,4,Excelente,5211393,28/07/2021
594,5,5,Excelente,18440,30/10/2021
595,3,3,Muy bueno,18203,29/12/2022
596,3,3,Muy bueno,17606,21/11/2022
597,5,5,Excelente,17801,02/01/2023
598,2,2,Aceptable,17164,25/10/2021
599,3,4,Muy bueno,8785833,18/10/2021
600,4,4,Excelente,18256,21/09/2021
601,2,2,Aceptable,4730844,26/05/2023
602,4,3,Muy bueno,17339,05/03/2023
603,1,1,Deficiente,5237118,30/10/2022
604,3,2,Aceptable,18532,11/01/2022
605,3,4,Muy bueno,16757,24/04/2022
606,3,2,Aceptable,5237126,19/04/2023
607,1,1,Deficiente,5173859,02/04/2022
608,5,5,Excelente,18348,19/07/2023
609,2,1,Regular,18254,18/09/2021
610,1,2,Regular,7840614,27/07/2021
611,3,3,Muy bueno,17843,14/09/2023
612,3,3,Muy bueno,5654018,19/04/2022
613,5,4,Excelente,18151,10/03/2021
614,4,3,Muy bueno,18020,29/05/2022
615,1,2,Regular,5237116,19/01/2022
616,1,2,Regular,18318,19/01/2022
617,3,2,Aceptable,52229,10/09/2022
618,3,4,Muy bueno,16882,04/02/2022
619,5,5,Excelente,8776034,25/04/2022
620,1,2,Regular,7247845,06/12/2021
621,2,2,Aceptable,18328,22/01/2021
622,3,4,Muy bueno,18484,21/03/2022
623,4,4,Excelente,3569222,11/10/2021
624,5,5,Excelente,52194,07/11/2023
625,1,2,Regular,18135,24/03/2021
626,1,1,Deficiente,16912,07/03/2023
627,5,5,Excelente,52179,08/05/2021
628,2,2,Aceptable,3962563,18/03/2022
629,5,5,Excelente,18116,31/03/2021
630,4,3,Muy bueno,5653909,14/12/2021
631,5,4,Excelente,18488,11/07/2021
632,2,2,Aceptable,7107694,18/07/2022
633,4,3,Muy bueno,7927289,17/06/2021
634,5,4,Excelente,17069,30/09/2022
